t,X_0.0,X_0.1,X_0.2,X_0.3,X_0.4,X_0.5,X_0.6,X_0.7,X_0.8,X_0.9,X_1.0,X_1.1,X_1.2,X_1.3,X_1.4,X_1.5,X_1.6,X_1.7,X_1.8,X_1.9,X_2.0
3300,2.535919,2.535127,2.532670,2.528315,2.521665,2.512172,2.499129,2.481695,2.458909,2.429730,2.393090,2.347950,2.293385,2.228650,2.153262,2.067058,1.970243,1.863410,1.747532,1.623933,1.494222
3360,2.534173,2.533323,2.530695,2.526053,2.519001,2.508992,2.495329,2.477182,2.453613,2.423616,2.386164,2.340269,2.285061,2.219854,2.144214,2.058023,1.961515,1.855294,1.740327,1.617901,1.489530
3420,2.532284,2.531377,2.528575,2.523643,2.516187,2.505663,2.491382,2.472530,2.448195,2.417402,2.379167,2.332551,2.276739,2.211096,2.135241,2.049094,1.952915,1.847316,1.733250,1.611954,1.484874
3480,2.530250,2.529284,2.526307,2.521083,2.513222,2.502183,2.487289,2.467744,2.442659,2.411093,2.372104,2.324803,2.268423,2.202383,2.126346,2.040270,1.944437,1.839465,1.726285,1.606092,1.480235
3540,2.528067,2.527042,2.523888,2.518372,2.510105,2.498554,2.483055,2.462827,2.437010,2.404696,2.364983,2.317029,2.260118,2.193718,2.117533,2.031556,1.936087,1.831744,1.719435,1.600299,1.475609
3600,2.525730,2.524646,2.521316,2.515507,2.506835,2.494778,2.478680,2.457784,2.431253,2.398215,2.357808,2.309237,2.251832,2.185105,2.108803,2.022947,1.927853,1.824134,1.712672,1.594563,1.471085
3660,2.523239,2.522096,2.518588,2.512487,2.503414,2.490854,2.474168,2.452617,2.425393,2.391656,2.350586,2.301429,2.243563,2.176542,2.100149,2.014432,1.919718,1.816616,1.705989,1.588917,1.466648
3720,2.520590,2.519388,2.515704,2.509313,2.499842,2.486786,2.469522,2.447331,2.419433,2.385023,2.343318,2.293608,2.235312,2.168027,2.091569,2.006009,1.911685,1.809203,1.699409,1.583355,1.462242
3780,2.517783,2.516522,2.512663,2.505984,2.496119,2.482575,2.464744,2.441930,2.413378,2.378320,2.336009,2.285776,2.227083,2.159563,2.083064,1.997677,1.903752,1.801889,1.692918,1.577864,1.457909
3840,2.514816,2.513496,2.509463,2.502499,2.492247,2.478223,2.459837,2.436415,2.407232,2.371550,2.328662,2.277938,2.218877,2.151149,2.074631,1.989434,1.895914,1.794669,1.686515,1.572452,1.453605
3900,2.511687,2.510310,2.506106,2.498860,2.488226,2.473731,2.454804,2.430792,2.400999,2.364719,2.321281,2.270095,2.210695,2.142786,2.066271,1.981279,1.888175,1.787550,1.680206,1.567104,1.449307
3960,2.508397,2.506963,2.502589,2.495067,2.484058,2.469103,2.449648,2.425064,2.394682,2.357830,2.313871,2.262251,2.202541,2.134476,2.057986,1.973215,1.880534,1.780529,1.673979,1.561810,1.445040
4020,2.504945,2.503455,2.498915,2.491121,2.479744,2.464340,2.444372,2.419234,2.388286,2.350887,2.306434,2.254409,2.194417,2.126222,2.049777,1.965241,1.872989,1.773600,1.667832,1.556573,1.440769
4080,2.501333,2.499787,2.495083,2.487024,2.475287,2.459445,2.438979,2.413307,2.381816,2.343894,2.298976,2.246574,2.186327,2.118025,2.041645,1.957358,1.865543,1.766767,1.661765,1.551378,1.436472
4140,2.497559,2.495960,2.491096,2.482776,2.470690,2.454423,2.433474,2.407287,2.375275,2.336857,2.291500,2.238749,2.178273,2.109890,2.033593,1.949568,1.858192,1.760021,1.655761,1.546211,1.432234
4200,2.493627,2.491974,2.486955,2.478381,2.465955,2.449275,2.427861,2.401179,2.368668,2.329781,2.284011,2.230938,2.170258,2.101813,2.025616,1.941860,1.850922,1.753345,1.649810,1.541098,1.428039
4260,2.489537,2.487833,2.482662,2.473842,2.461085,2.444006,2.422143,2.394986,2.362000,2.322667,2.276511,2.223141,2.162280,2.093794,2.017711,1.934232,1.843733,1.746743,1.643926,1.536031,1.423860
4320,2.485293,2.483539,2.478219,2.469160,2.456084,2.438619,2.416325,2.388712,2.355274,2.315519,2.269002,2.215359,2.154340,2.085831,2.009875,1.926680,1.836617,1.740207,1.638091,1.531005,1.419772
4380,2.480895,2.479093,2.473630,2.464340,2.450954,2.433118,2.410409,2.382361,2.348493,2.308340,2.261486,2.207593,2.146435,2.077920,2.002101,1.919195,1.829568,1.733732,1.632318,1.526049,1.415675
4440,2.476348,2.474499,2.468897,2.459383,2.445699,2.427506,2.404399,2.375935,2.341658,2.301131,2.253963,2.199843,2.138568,2.070063,1.994396,1.911786,1.822602,1.727344,1.626626,1.521128,1.411517
4500,2.471653,2.469759,2.464023,2.454293,2.440322,2.421786,2.398299,2.369439,2.334776,2.293897,2.246438,2.192114,2.130742,2.062265,1.986762,1.904459,1.815718,1.721031,1.620985,1.516220,1.407390
4560,2.466815,2.464876,2.459012,2.449074,2.434827,2.415962,2.392112,2.362877,2.327849,2.286641,2.238915,2.184407,2.122958,2.054525,1.979197,1.897204,1.808904,1.714775,1.615383,1.511348,1.403311
