t,X_0.0,X_0.1,X_0.2,X_0.3,X_0.4,X_0.5,X_0.6,X_0.7,X_0.8,X_0.9,X_1.0,X_1.1,X_1.2,X_1.3,X_1.4,X_1.5,X_1.6,X_1.7,X_1.8,X_1.9,X_surface
147300.000000,0.173895,0.173463,0.172160,0.169967,0.166851,0.162756,0.157597,0.151236,0.143442,0.133801,0.121442,0.103900,0.054992,nan,nan,nan,nan,nan,nan,nan,0.054204
147360.000000,0.173843,0.173411,0.172108,0.169916,0.166802,0.162710,0.157553,0.151194,0.143404,0.133768,0.121413,0.103878,0.054988,nan,nan,nan,nan,nan,nan,nan,0.054200
147420.000000,0.173791,0.173359,0.172057,0.169866,0.166753,0.162663,0.157509,0.151153,0.143366,0.133734,0.121384,0.103857,0.054983,nan,nan,nan,nan,nan,nan,nan,0.054195
147480.000000,0.173739,0.173307,0.172006,0.169816,0.166705,0.162616,0.157464,0.151111,0.143328,0.133700,0.121356,0.103835,0.054978,nan,nan,nan,nan,nan,nan,nan,0.054191
147540.000000,0.173686,0.173255,0.171954,0.169766,0.166656,0.162569,0.157420,0.151070,0.143291,0.133667,0.121327,0.103813,0.054974,nan,nan,nan,nan,nan,nan,nan,0.054187
147600.000000,0.173634,0.173203,0.171903,0.169716,0.166607,0.162523,0.157376,0.151029,0.143253,0.133633,0.121299,0.103791,0.054969,nan,nan,nan,nan,nan,nan,nan,0.054183
147660.000000,0.173582,0.173151,0.171852,0.169666,0.166559,0.162476,0.157332,0.150988,0.143215,0.133600,0.121270,0.103769,0.054965,nan,nan,nan,nan,nan,nan,nan,0.054179
147720.000000,0.173531,0.173100,0.171801,0.169616,0.166510,0.162430,0.157288,0.150947,0.143178,0.133566,0.121242,0.103747,0.054960,nan,nan,nan,nan,nan,nan,nan,0.054174
147780.000000,0.173479,0.173048,0.171750,0.169566,0.166462,0.162383,0.157244,0.150905,0.143140,0.133532,0.121213,0.103725,0.054955,nan,nan,nan,nan,nan,nan,nan,0.054170
147840.000000,0.173427,0.172996,0.171699,0.169516,0.166414,0.162337,0.157200,0.150864,0.143102,0.133499,0.121185,0.103704,0.054951,nan,nan,nan,nan,nan,nan,nan,0.054166
147900.000000,0.173375,0.172945,0.171648,0.169466,0.166365,0.162291,0.157156,0.150823,0.143065,0.133466,0.121156,0.103682,0.054946,nan,nan,nan,nan,nan,nan,nan,0.054162
