scenario,T_platform_C,hm_factor,r_cm,X_event,is_pareto,representative
T48.5_hm1,48.5,1,0.38,0.1486742952,False,
T48.5_hm1,48.5,1,0.4,0.1485295611,False,
T48.5_hm1,48.5,1,0.42,0.1483771076,False,
T48.5_hm1,48.5,1,0.44,0.1482167915,False,
T48.5_hm1,48.5,1,0.46,0.1480485793,False,
T48.5_hm1,48.5,1,0.48,0.1478724809,False,
T48.5_hm1,48.5,1,0.5,0.1476884349,False,
T48.5_hm1,48.5,1,0.52,0.1474963761,False,
T48.5_hm1,48.5,1,0.54,0.1472961005,False,
T48.5_hm1,48.5,1,0.56,0.1470876363,False,
T48.5_hm1,48.5,1,0.58,0.1468709381,False,
T48.5_hm1,48.5,1,0.6,0.146645925,False,
T48.5_hm1,48.5,1,0.62,0.1464125034,False,
T48.5_hm1,48.5,1,0.64,0.1461704242,False,
T48.5_hm1,48.5,1,0.66,0.1459197565,False,
T48.5_hm1,48.5,1,0.68,0.1456604004,False,
T48.5_hm1,48.5,1,0.7,0.1453922509,False,
T48.5_hm1,48.5,1,0.72,0.1451151446,False,
T48.5_hm1,48.5,1,0.74,0.1448288829,False,
T48.5_hm1,48.5,1,0.76,0.1445334733,False,
T48.5_hm1,48.5,1,0.78,0.1442287865,False,
T48.5_hm1,48.5,1,0.8,0.1439146865,False,
T48.5_hm1,48.5,1,0.82,0.1435909259,False,
T48.5_hm1,48.5,1,0.84,0.1432573586,False,
T48.5_hm1,48.5,1,0.86,0.1429139184,False,
T48.5_hm1,48.5,1,0.88,0.1425604374,False,
T48.5_hm1,48.5,1,0.9,0.1421967382,False,
T48.5_hm1,48.5,1,0.92,0.1418224688,False,
T48.5_hm1,48.5,1,0.94,0.1414375385,False,
T48.5_hm1,48.5,1,0.96,0.141041789,False,
T48.5_hm1,48.5,1,0.98,0.1406349996,False,
T48.5_hm1,48.5,1,1,0.1402169368,False,
T48.5_hm1,48.5,1,1.02,0.1397871124,False,
T48.5_hm1,48.5,1,1.04,0.139345495,False,
T48.5_hm1,48.5,1,1.06,0.1388918063,False,
T48.5_hm1,48.5,1,1.08,0.1384257509,False,
T48.5_hm1,48.5,1,1.1,0.1379469517,False,
T48.5_hm1,48.5,1,1.12,0.1374549271,False,
T48.5_hm1,48.5,1,1.14,0.1369495189,False,
T48.5_hm1,48.5,1,1.16,0.1364303476,False,
T48.5_hm1,48.5,1,1.18,0.135897008,False,
T48.5_hm1,48.5,1,1.2,0.1353489204,False,
T48.5_hm1,48.5,1,1.22,0.1347855931,False,
T48.5_hm1,48.5,1,1.24,0.1342066846,False,
T48.5_hm1,48.5,1,1.26,0.1336116602,False,
T48.5_hm1,48.5,1,1.28,0.132999945,False,
T48.5_hm1,48.5,1,1.3,0.1323706571,False,
T48.5_hm1,48.5,1,1.32,0.1317232623,False,
T48.5_hm1,48.5,1,1.34,0.1310571361,False,
T48.5_hm1,48.5,1,1.36,0.1303714919,False,
T48.5_hm1,48.5,1,1.38,0.1296654755,False,
T48.5_hm1,48.5,1,1.4,0.1289377222,False,
T48.5_hm1,48.5,1,1.42,0.1281875872,False,
T48.5_hm1,48.5,1,1.44,0.1274139735,False,
T48.5_hm1,48.5,1,1.46,0.1266156532,False,
T48.5_hm1,48.5,1,1.48,0.125791166,False,
T48.5_hm1,48.5,1,1.5,0.1249386285,False,
T48.5_hm1,48.5,1,1.52,0.1240568036,False,
T48.5_hm1,48.5,1,1.54,0.1231438291,False,
T48.5_hm1,48.5,1,1.56,0.1221976196,False,
T48.5_hm1,48.5,1,1.58,0.1212154938,False,
T48.5_hm1,48.5,1,1.6,0.1201946034,False,
T48.5_hm1,48.5,1,1.62,0.1191323242,False,
T48.5_hm1,48.5,1,1.64,0.1180251715,False,
T48.5_hm1,48.5,1,1.66,0.1168691255,False,
T48.5_hm1,48.5,1,1.68,0.115658709,False,
T48.5_hm1,48.5,1,1.7,0.114388635,False,
T48.5_hm1,48.5,1,1.72,0.1130527099,False,
T48.5_hm1,48.5,1,1.74,0.1116430669,False,
T48.5_hm1,48.5,1,1.76,0.11015015,False,
T48.5_hm1,48.5,1,1.78,0.1085601593,False,
T48.5_hm1,48.5,1,1.8,0.1068594424,False,
T48.5_hm1,48.5,1,1.82,0.1050289622,False,
T48.5_hm1,48.5,1,1.84,0.1030434235,False,
T48.5_hm1,48.5,1,1.86,0.1008678136,False,
T48.5_hm1,48.5,1,1.88,0.09844874092,False,
